"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","166580","","","","0"
"1990-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","172205","","","","0"
"1990-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","181403","","","","0"
"1990-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","175313","","","","0"
"1991-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","167228","","","","0"
"1991-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","172598","","","","0"
"1991-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","182638","","","","0"
"1991-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","179309","","","","0"
"1992-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","171431","","","","0"
"1992-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","176922","","","","0"
"1992-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","186332","","","","0"
"1992-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","183751","","","","0"
"1993-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","177146","","","","0"
"1993-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","185214","","","","0"
"1993-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","191739","","","","0"
"1993-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","192938","","","","0"
"1994-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","186254","","","","0"
"1994-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","194634","","","","0"
"1994-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","205656","","","","0"
"1994-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","205428","","","","0"
"1995-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","197209","","","","0"
"1995-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","205659","","","","0"
"1995-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","215915","","","","0"
"1995-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","212838","","","","0"
"1996-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","202701","","","","0"
"1996-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","208638","","","","0"
"1996-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","225185","","","","0"
"1996-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","223310","","","","0"
"1997-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","214418","","","","0"
"1997-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","222456","","","","0"
"1997-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","236004","","","","0"
"1997-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","234048","","","","0"
"1998-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","223467","","","","0"
"1998-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","232123","","","","0"
"1998-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","242727","","","","0"
"1998-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","242231","","","","0"
